property,property,property,property,actual,predicted
819.2,409.6,576,192,Iris-versicolor,Iris-versicolor
652.8,422.4,217.6,64,Iris-setosa,Iris-setosa
768,345.6,652.8,204.8,Iris-versicolor,Iris-versicolor
742.4,345.6,524.8,128,Iris-versicolor,Iris-versicolor
704,448,166.4,25.6,Iris-setosa,Iris-setosa
691.2,384,576,192,Iris-versicolor,Iris-versicolor
844.8,371.2,588.8,166.4,Iris-versicolor,Iris-versicolor
640,422.4,179.2,25.6,Iris-setosa,Iris-setosa
755.2,384,537.6,192,Iris-versicolor,Iris-versicolor
678.4,473.6,192,25.6,Iris-setosa,Iris-setosa
857.6,396.8,563.2,179.2,Iris-versicolor,Iris-versicolor
627.2,307.2,422.4,128,Iris-versicolor,Iris-versicolor
716.8,345.6,537.6,166.4,Iris-versicolor,Iris-versicolor
857.6,384,640,217.6,Iris-versicolor,Iris-versicolor
729.6,358.4,524.8,166.4,Iris-versicolor,Iris-versicolor
768,281.6,512,128,Iris-versicolor,Iris-versicolor
870.4,358.4,614.4,179.2,Iris-versicolor,Iris-versicolor
652.8,486.4,243.2,51.2,Iris-setosa,Iris-setosa
640,435.2,192,25.6,Iris-setosa,Iris-setosa
704,307.2,473.6,128,Iris-versicolor,Iris-versicolor
704,307.2,486.4,140.8,Iris-versicolor,Iris-versicolor
691.2,435.2,192,51.2,Iris-setosa,Iris-setosa
588.8,435.2,179.2,38.4,Iris-setosa,Iris-setosa
627.2,396.8,192,12.8,Iris-setosa,Iris-setosa
768,435.2,576,204.8,Iris-versicolor,Iris-versicolor
614.4,396.8,204.8,25.6,Iris-setosa,Iris-setosa
704,294.4,512,166.4,Iris-versicolor,Iris-versicolor
844.8,384,563.2,179.2,Iris-versicolor,Iris-versicolor
896,409.6,601.6,179.2,Iris-versicolor,Iris-versicolor
755.2,409.6,614.4,230.4,Iris-versicolor,Iris-versicolor
588.8,460.8,128,25.6,Iris-setosa,Iris-setosa
652.8,320,384,140.8,Iris-versicolor,Iris-versicolor
780.8,384,588.8,179.2,Iris-versicolor,Iris-versicolor
716.8,384,524.8,166.4,Iris-versicolor,Iris-versicolor
640,384,204.8,25.6,Iris-setosa,Iris-setosa
627.2,396.8,192,12.8,Iris-setosa,Iris-setosa
780.8,371.2,601.6,179.2,Iris-versicolor,Iris-versicolor
640,460.8,179.2,25.6,Iris-setosa,Iris-setosa
640,435.2,204.8,51.2,Iris-setosa,Iris-setosa
716.8,384,576,192,Iris-versicolor,Iris-versicolor
601.6,409.6,166.4,25.6,Iris-setosa,Iris-setosa
665.6,345.6,499.2,179.2,Iris-versicolor,Iris-versicolor
729.6,358.4,576,166.4,Iris-versicolor,Iris-versicolor
768,371.2,576,192,Iris-versicolor,Iris-versicolor
716.8,320,499.2,140.8,Iris-versicolor,Iris-versicolor
793.6,371.2,550.4,166.4,Iris-versicolor,Iris-versicolor
742.4,332.8,512,153.6,Iris-versicolor,Iris-versicolor
627.2,396.8,192,12.8,Iris-setosa,Iris-setosa
550.4,384,140.8,12.8,Iris-setosa,Iris-setosa
806.4,422.4,601.6,204.8,Iris-versicolor,Iris-versicolor
563.2,409.6,166.4,25.6,Iris-setosa,Iris-setosa
832,358.4,588.8,192,Iris-versicolor,Iris-versicolor
716.8,371.2,460.8,166.4,Iris-versicolor,Iris-versicolor
742.4,512,153.6,25.6,Iris-setosa,Iris-setosa
691.2,499.2,166.4,51.2,Iris-setosa,Iris-setosa
704,320,512,166.4,Iris-versicolor,Iris-versicolor
563.2,384,166.4,25.6,Iris-setosa,Iris-setosa
614.4,384,179.2,12.8,Iris-setosa,Iris-setosa
857.6,396.8,601.6,192,Iris-versicolor,Iris-versicolor
806.4,320,627.2,192,Iris-versicolor,Iris-versicolor
652.8,486.4,204.8,25.6,Iris-setosa,Iris-setosa
729.6,563.2,192,51.2,Iris-setosa,Iris-setosa
704,537.6,179.2,25.6,Iris-setosa,Iris-setosa
691.2,435.2,217.6,25.6,Iris-setosa,Iris-setosa
652.8,486.4,192,38.4,Iris-setosa,Iris-setosa
563.2,371.2,179.2,25.6,Iris-setosa,Iris-setosa
665.6,435.2,179.2,25.6,Iris-setosa,Iris-setosa
729.6,332.8,448,128,Iris-versicolor,Iris-versicolor
614.4,435.2,204.8,25.6,Iris-setosa,Iris-setosa
640,448,204.8,76.8,Iris-setosa,Iris-setosa
729.6,384,537.6,153.6,Iris-versicolor,Iris-versicolor
640,294.4,422.4,128,Iris-versicolor,Iris-versicolor
640,448,166.4,38.4,Iris-setosa,Iris-setosa
780.8,358.4,601.6,153.6,Iris-versicolor,Iris-versicolor
691.2,499.2,217.6,51.2,Iris-setosa,Iris-setosa
819.2,371.2,550.4,166.4,Iris-versicolor,Iris-versicolor
780.8,358.4,512,166.4,Iris-versicolor,Iris-versicolor
588.8,409.6,179.2,25.6,Iris-setosa,Iris-setosa
883.2,396.8,627.2,192,Iris-versicolor,Iris-versicolor
704,332.8,563.2,153.6,Iris-versicolor,Iris-versicolor
