property,property,property,property,actual,predicted
24576,13926,18432,6553,Iris-versicolor,Iris-versicolor
22528,9830,15564,4505,Iris-versicolor,Iris-versicolor
24985,11468,16384,5324,Iris-versicolor,Iris-versicolor
20480,14336,5324,1228,Iris-setosa,Iris-versicolor
19660,12288,5734,1228,Iris-setosa,Iris-versicolor
19660,12697,6553,819,Iris-setosa,Iris-versicolor
25804,9420,18022,5324,Iris-versicolor,Iris-versicolor
23756,16384,4915,819,Iris-setosa,Iris-versicolor
22937,11878,14745,5324,Iris-versicolor,Iris-versicolor
20070,12697,6144,409,Iris-setosa,Iris-versicolor
23347,15564,6963,1228,Iris-setosa,Iris-versicolor
20480,13926,6144,819,Iris-setosa,Iris-versicolor
22937,11059,17203,5324,Iris-versicolor,Iris-versicolor
22937,10240,15974,4505,Iris-versicolor,Iris-versicolor
24576,11059,20889,6553,Iris-versicolor,Iris-versicolor
24985,12288,18841,5734,Iris-versicolor,Iris-versicolor
21299,14336,6144,819,Iris-setosa,Iris-versicolor
24576,9011,16384,4096,Iris-versicolor,Iris-versicolor
28262,12697,20070,6144,Iris-versicolor,Iris-versicolor
22118,15974,5324,1638,Iris-setosa,Iris-versicolor
24985,11878,19251,5734,Iris-versicolor,Iris-versicolor
22937,12288,18432,6144,Iris-versicolor,Iris-versicolor
20480,14336,6553,2457,Iris-setosa,Iris-versicolor
19660,13926,6553,819,Iris-setosa,Iris-versicolor
20889,14336,5734,819,Iris-setosa,Iris-versicolor
18022,13107,5324,819,Iris-setosa,Iris-versicolor
26214,13107,18432,6144,Iris-versicolor,Iris-versicolor
23347,12288,17203,4915,Iris-versicolor,Iris-versicolor
20070,9830,13516,4096,Iris-versicolor,Iris-setosa
27852,11468,19660,5734,Iris-versicolor,Iris-versicolor
20480,12288,6553,819,Iris-setosa,Iris-versicolor
20480,13926,6553,1638,Iris-setosa,Iris-versicolor
20480,13516,5734,819,Iris-setosa,Iris-versicolor
24985,11468,19251,4915,Iris-versicolor,Iris-versicolor
22118,13926,6963,819,Iris-setosa,Iris-versicolor
19660,12288,5734,409,Iris-setosa,Iris-versicolor
22528,9830,15155,4096,Iris-versicolor,Iris-versicolor
20480,13107,4915,819,Iris-setosa,Iris-versicolor
26624,11468,18841,6144,Iris-versicolor,Iris-versicolor
23756,11059,16793,4096,Iris-versicolor,Iris-versicolor
25395,9011,18432,6144,Iris-versicolor,Iris-versicolor
17612,12288,4505,409,Iris-setosa,Iris-versicolor
20070,12288,5734,819,Iris-setosa,Iris-versicolor
19660,13926,7782,819,Iris-setosa,Iris-versicolor
24166,13107,19660,7372,Iris-versicolor,Iris-versicolor
27443,12697,19251,6144,Iris-versicolor,Iris-versicolor
18841,14745,4096,819,Iris-setosa,Iris-versicolor
20889,15564,6553,819,Iris-setosa,Iris-versicolor
20889,15564,6144,1228,Iris-setosa,Iris-versicolor
20480,9420,13516,4096,Iris-versicolor,Iris-versicolor
20889,13516,6963,2048,Iris-setosa,Iris-versicolor
27033,12288,18022,5734,Iris-versicolor,Iris-versicolor
18432,9420,5324,1228,Iris-setosa,Iris-versicolor
24576,11878,18432,6144,Iris-versicolor,Iris-versicolor
28672,13107,19251,5734,Iris-versicolor,Iris-versicolor
20480,8192,14336,4096,Iris-versicolor,Iris-setosa
26214,11878,17612,5324,Iris-versicolor,Iris-versicolor
24166,12288,17203,6144,Iris-versicolor,Iris-setosa
23347,18022,6144,1638,Iris-setosa,Iris-versicolor
22118,12288,18432,6144,Iris-versicolor,Iris-versicolor
21299,13926,5734,819,Iris-setosa,Iris-versicolor
20889,15155,6144,1638,Iris-setosa,Iris-versicolor
18022,12288,5324,819,Iris-setosa,Iris-versicolor
25804,10240,20070,6144,Iris-versicolor,Iris-setosa
23347,10649,14336,4096,Iris-versicolor,Iris-versicolor
20070,12697,6144,409,Iris-setosa,Iris-versicolor
20480,14745,5734,819,Iris-setosa,Iris-versicolor
18841,13926,5734,1228,Iris-setosa,Iris-versicolor
23347,11468,16793,5324,Iris-versicolor,Iris-versicolor
19251,13107,6553,819,Iris-setosa,Iris-versicolor
22937,12288,16793,5324,Iris-versicolor,Iris-versicolor
18841,13107,5734,819,Iris-setosa,Iris-versicolor
23347,11468,18432,5324,Iris-versicolor,Iris-versicolor
20889,10240,12288,4505,Iris-versicolor,Iris-versicolor
22118,15155,6144,819,Iris-setosa,Iris-versicolor
27443,12697,18022,5734,Iris-versicolor,Iris-versicolor
27033,11878,18841,5324,Iris-versicolor,Iris-versicolor
19251,13107,5324,819,Iris-setosa,Iris-versicolor
20889,14336,5734,1228,Iris-setosa,Iris-versicolor
25395,11878,17612,5324,Iris-versicolor,Iris-versicolor
