property,property,property,property,actual,predicted
46.4,32,9.6,1.6,Iris-setosa,Iris-setosa
38.4,27.2,15.2,1.6,Iris-setosa,Iris-setosa
38.4,24.8,12.8,1.6,Iris-setosa,Iris-setosa
40.8,20,24,8.8,Iris-versicolor,Iris-versicolor
44,19.2,30.4,8.8,Iris-versicolor,Iris-versicolor
44.8,24,32.8,10.4,Iris-versicolor,Iris-versicolor
48,27.2,36,12.8,Iris-versicolor,Iris-versicolor
51.2,25.6,36,12,Iris-versicolor,Iris-versicolor
37.6,25.6,12.8,1.6,Iris-setosa,Iris-setosa
45.6,30.4,13.6,2.4,Iris-setosa,Iris-setosa
40.8,28,11.2,2.4,Iris-setosa,Iris-setosa
38.4,27.2,12.8,1.6,Iris-setosa,Iris-setosa
40.8,26.4,13.6,4,Iris-setosa,Iris-setosa
35.2,24,10.4,1.6,Iris-setosa,Iris-setosa
48,21.6,40.8,12.8,Iris-versicolor,Iris-versicolor
40,24,12.8,1.6,Iris-setosa,Iris-setosa
39.2,24,11.2,1.6,Iris-setosa,Iris-setosa
35.2,25.6,10.4,1.6,Iris-setosa,Iris-setosa
48.8,23.2,37.6,11.2,Iris-versicolor,Iris-versicolor
44.8,24,36,12,Iris-versicolor,Iris-versicolor
39.2,24.8,12,0.8,Iris-setosa,Iris-setosa
45.6,24,33.6,9.6,Iris-versicolor,Iris-versicolor
45.6,35.2,12,3.2,Iris-setosa,Iris-setosa
38.4,24,11.2,2.4,Iris-setosa,Iris-setosa
52.8,23.2,36.8,10.4,Iris-versicolor,Iris-versicolor
43.2,31.2,13.6,3.2,Iris-setosa,Iris-setosa
36.8,24.8,12,1.6,Iris-setosa,Iris-setosa
36,18.4,10.4,2.4,Iris-setosa,Iris-setosa
36.8,28.8,8,1.6,Iris-setosa,Iris-setosa
44,20.8,35.2,9.6,Iris-versicolor,Iris-versicolor
42.4,29.6,12,1.6,Iris-setosa,Iris-setosa
56,25.6,37.6,11.2,Iris-versicolor,Iris-versicolor
55.2,24.8,39.2,12,Iris-versicolor,Iris-versicolor
35.2,23.2,11.2,1.6,Iris-setosa,Iris-setosa
45.6,23.2,33.6,10.4,Iris-versicolor,Iris-versicolor
40,28.8,11.2,1.6,Iris-setosa,Iris-setosa
37.6,25.6,10.4,1.6,Iris-setosa,Iris-setosa
47.2,24,33.6,12,Iris-versicolor,Iris-versicolor
43.2,29.6,12,1.6,Iris-setosa,Iris-setosa
52.8,24,35.2,11.2,Iris-versicolor,Iris-versicolor
40,16,28,8,Iris-versicolor,Iris-versicolor
48.8,22.4,32,10.4,Iris-versicolor,Iris-versicolor
44,20,32,10.4,Iris-versicolor,Iris-versicolor
39.2,24.8,12,0.8,Iris-setosa,Iris-setosa
51.2,23.2,34.4,10.4,Iris-versicolor,Iris-versicolor
40,28,12.8,4.8,Iris-setosa,Iris-setosa
44.8,23.2,28.8,10.4,Iris-versicolor,Iris-versicolor
40.8,27.2,12,1.6,Iris-setosa,Iris-setosa
45.6,22.4,36,10.4,Iris-versicolor,Iris-versicolor
53.6,24,40,13.6,Iris-versicolor,Iris-versicolor
53.6,24.8,37.6,12,Iris-versicolor,Iris-versicolor
44.8,21.6,33.6,10.4,Iris-versicolor,Iris-versicolor
50.4,18.4,35.2,10.4,Iris-versicolor,Iris-versicolor
41.6,32.8,12,0.8,Iris-setosa,Iris-setosa
40,27.2,12.8,3.2,Iris-setosa,Iris-setosa
40.8,29.6,12,3.2,Iris-setosa,Iris-setosa
46.4,21.6,31.2,9.6,Iris-versicolor,Iris-versicolor
46.4,21.6,32.8,8,Iris-versicolor,Iris-versicolor
53.6,24.8,35.2,11.2,Iris-versicolor,Iris-versicolor
49.6,23.2,34.4,10.4,Iris-versicolor,Iris-versicolor
40,28,10.4,2.4,Iris-setosa,Iris-setosa
44,28,10.4,1.6,Iris-setosa,Iris-setosa
45.6,20.8,28,8,Iris-versicolor,Iris-versicolor
40,25.6,9.6,1.6,Iris-setosa,Iris-setosa
44,33.6,11.2,1.6,Iris-setosa,Iris-setosa
45.6,22.4,32.8,10.4,Iris-versicolor,Iris-versicolor
46.4,20.8,32,9.6,Iris-versicolor,Iris-versicolor
40.8,30.4,15.2,3.2,Iris-setosa,Iris-setosa
40,26.4,11.2,1.6,Iris-setosa,Iris-setosa
48.8,22.4,37.6,9.6,Iris-versicolor,Iris-versicolor
41.6,21.6,31.2,11.2,Iris-versicolor,Iris-versicolor
43.2,27.2,12,3.2,Iris-setosa,Iris-setosa
47.2,25.6,38.4,14.4,Iris-versicolor,Iris-versicolor
34.4,24,8.8,0.8,Iris-setosa,Iris-setosa
48,23.2,36,12,Iris-versicolor,Iris-versicolor
48,17.6,32,8,Iris-versicolor,Iris-versicolor
40,18.4,26.4,8,Iris-versicolor,Iris-versicolor
38.4,24,11.2,0.8,Iris-setosa,Iris-setosa
43.2,31.2,10.4,3.2,Iris-setosa,Iris-setosa
52,22.4,36.8,12,Iris-versicolor,Iris-versicolor
