property,property,property,property,actual,predicted
198.4,70.4,144,48,Iris-versicolor,Iris-versicolor
214.4,99.2,140.8,44.8,Iris-versicolor,Iris-versicolor
160,102.4,38.4,6.4,Iris-setosa,Iris-setosa
179.2,86.4,134.4,41.6,Iris-versicolor,Iris-versicolor
192,92.8,144,48,Iris-versicolor,Iris-versicolor
198.4,92.8,137.6,41.6,Iris-versicolor,Iris-versicolor
156.8,99.2,48,3.2,Iris-setosa,Iris-setosa
185.6,83.2,128,38.4,Iris-versicolor,Iris-versicolor
140.8,92.8,44.8,6.4,Iris-setosa,Iris-setosa
160,96,51.2,6.4,Iris-setosa,Iris-setosa
179.2,96,131.2,41.6,Iris-versicolor,Iris-versicolor
179.2,96,144,48,Iris-versicolor,Iris-versicolor
160,115.2,44.8,6.4,Iris-setosa,Iris-setosa
160,105.6,44.8,6.4,Iris-setosa,Iris-setosa
156.8,99.2,48,3.2,Iris-setosa,Iris-setosa
160,64,112,32,Iris-versicolor,Iris-versicolor
160,108.8,48,6.4,Iris-setosa,Iris-setosa
140.8,96,41.6,6.4,Iris-setosa,Iris-setosa
195.2,89.6,150.4,38.4,Iris-versicolor,Iris-versicolor
182.4,96,134.4,38.4,Iris-versicolor,Iris-versicolor
156.8,96,44.8,6.4,Iris-setosa,Iris-setosa
220.8,99.2,156.8,48,Iris-versicolor,Iris-versicolor
214.4,96,160,54.4,Iris-versicolor,Iris-versicolor
176,134.4,44.8,6.4,Iris-setosa,Iris-setosa
172.8,124.8,54.4,12.8,Iris-setosa,Iris-setosa
163.2,112,44.8,6.4,Iris-setosa,Iris-setosa
214.4,99.2,150.4,48,Iris-versicolor,Iris-versicolor
182.4,92.8,134.4,41.6,Iris-versicolor,Iris-versicolor
192,108.8,144,51.2,Iris-versicolor,Iris-versicolor
147.2,108.8,44.8,9.6,Iris-setosa,Iris-setosa
176,112,41.6,6.4,Iris-setosa,Iris-setosa
217.6,89.6,153.6,44.8,Iris-versicolor,Iris-versicolor
182.4,83.2,112,32,Iris-versicolor,Iris-versicolor
160,112,51.2,19.2,Iris-setosa,Iris-setosa
156.8,99.2,48,3.2,Iris-setosa,Iris-setosa
211.2,92.8,147.2,41.6,Iris-versicolor,Iris-versicolor
169.6,118.4,48,6.4,Iris-setosa,Iris-setosa
144,73.6,41.6,9.6,Iris-setosa,Iris-setosa
192,70.4,128,32,Iris-versicolor,Iris-versicolor
211.2,96,140.8,44.8,Iris-versicolor,Iris-versicolor
166.4,131.2,48,3.2,Iris-setosa,Iris-setosa
192,86.4,163.2,51.2,Iris-versicolor,Iris-versicolor
153.6,99.2,51.2,6.4,Iris-setosa,Iris-setosa
153.6,108.8,51.2,6.4,Iris-setosa,Iris-setosa
224,102.4,150.4,44.8,Iris-versicolor,Iris-versicolor
172.8,96,144,48,Iris-versicolor,Iris-versicolor
163.2,80,96,35.2,Iris-versicolor,Iris-setosa
204.8,92.8,137.6,41.6,Iris-versicolor,Iris-versicolor
163.2,108.8,48,6.4,Iris-setosa,Iris-setosa
182.4,121.6,54.4,9.6,Iris-setosa,Iris-setosa
195.2,92.8,150.4,44.8,Iris-versicolor,Iris-versicolor
176,73.6,128,41.6,Iris-versicolor,Iris-versicolor
163.2,121.6,48,9.6,Iris-setosa,Iris-setosa
160,108.8,51.2,12.8,Iris-setosa,Iris-setosa
201.6,105.6,150.4,51.2,Iris-versicolor,Iris-versicolor
163.2,112,44.8,9.6,Iris-setosa,Iris-setosa
150.4,102.4,51.2,6.4,Iris-setosa,Iris-setosa
140.8,102.4,41.6,6.4,Iris-setosa,Iris-setosa
163.2,118.4,48,12.8,Iris-setosa,Iris-setosa
153.6,108.8,60.8,6.4,Iris-setosa,Iris-setosa
195.2,96,147.2,44.8,Iris-versicolor,Iris-versicolor
172.8,118.4,48,6.4,Iris-setosa,Iris-setosa
176,76.8,121.6,35.2,Iris-versicolor,Iris-versicolor
137.6,96,35.2,3.2,Iris-setosa,Iris-setosa
176,80,128,41.6,Iris-versicolor,Iris-versicolor
185.6,86.4,131.2,32,Iris-versicolor,Iris-versicolor
182.4,89.6,131.2,41.6,Iris-versicolor,Iris-versicolor
153.6,96,44.8,9.6,Iris-setosa,Iris-setosa
188.8,96,134.4,48,Iris-versicolor,Iris-versicolor
179.2,92.8,115.2,41.6,Iris-versicolor,Iris-versicolor
147.2,115.2,32,6.4,Iris-setosa,Iris-setosa
188.8,102.4,153.6,57.6,Iris-versicolor,Iris-versicolor
153.6,96,44.8,3.2,Iris-setosa,Iris-setosa
176,83.2,140.8,38.4,Iris-versicolor,Iris-versicolor
156.8,76.8,105.6,32,Iris-versicolor,Iris-versicolor
172.8,108.8,48,12.8,Iris-setosa,Iris-setosa
179.2,80,124.8,35.2,Iris-versicolor,Iris-versicolor
172.8,108.8,54.4,6.4,Iris-setosa,Iris-setosa
163.2,105.6,54.4,16,Iris-setosa,Iris-setosa
176,76.8,118.4,32,Iris-versicolor,Iris-versicolor
