property,property,property,property,actual,predicted
91.2,70.4,24,6.4,Iris-setosa,Iris-setosa
108.8,44.8,76.8,22.4,Iris-versicolor,Iris-versicolor
73.6,57.6,16,3.2,Iris-setosa,Iris-setosa
81.6,59.2,24,6.4,Iris-setosa,Iris-setosa
81.6,56,22.4,4.8,Iris-setosa,Iris-setosa
80,51.2,19.2,3.2,Iris-setosa,Iris-setosa
78.4,48,22.4,3.2,Iris-setosa,Iris-setosa
107.2,49.6,70.4,22.4,Iris-versicolor,Iris-versicolor
102.4,51.2,72,24,Iris-versicolor,Iris-versicolor
86.4,54.4,27.2,3.2,Iris-setosa,Iris-setosa
86.4,62.4,27.2,6.4,Iris-setosa,Iris-setosa
89.6,40,62.4,17.6,Iris-versicolor,Iris-versicolor
91.2,46.4,67.2,20.8,Iris-versicolor,Iris-versicolor
83.2,65.6,24,1.6,Iris-setosa,Iris-setosa
100.8,36.8,70.4,20.8,Iris-versicolor,Iris-versicolor
76.8,54.4,25.6,3.2,Iris-setosa,Iris-setosa
83.2,43.2,62.4,22.4,Iris-versicolor,Iris-versicolor
100.8,40,78.4,24,Iris-versicolor,Iris-versicolor
94.4,51.2,76.8,28.8,Iris-versicolor,Iris-versicolor
86.4,48,72,24,Iris-versicolor,Iris-versicolor
81.6,40,48,17.6,Iris-versicolor,Iris-versicolor
96,35.2,64,16,Iris-versicolor,Iris-versicolor
91.2,44.8,72,20.8,Iris-versicolor,Iris-versicolor
78.4,38.4,52.8,16,Iris-versicolor,Iris-versicolor
110.4,49.6,78.4,24,Iris-versicolor,Iris-versicolor
80,32,56,16,Iris-versicolor,Iris-versicolor
76.8,48,22.4,1.6,Iris-setosa,Iris-setosa
73.6,49.6,24,3.2,Iris-setosa,Iris-setosa
73.6,51.2,22.4,3.2,Iris-setosa,Iris-setosa
75.2,51.2,25.6,3.2,Iris-setosa,Iris-setosa
99.2,35.2,72,24,Iris-versicolor,Iris-versicolor
105.6,48,70.4,22.4,Iris-versicolor,Iris-versicolor
68.8,48,17.6,1.6,Iris-setosa,Iris-setosa
76.8,48,22.4,4.8,Iris-setosa,Iris-setosa
105.6,46.4,73.6,20.8,Iris-versicolor,Iris-versicolor
91.2,48,67.2,19.2,Iris-versicolor,Iris-versicolor
96,46.4,72,24,Iris-versicolor,Iris-versicolor
80,56,25.6,9.6,Iris-setosa,Iris-setosa
88,40,64,20.8,Iris-versicolor,Iris-versicolor
97.6,48,73.6,22.4,Iris-versicolor,Iris-versicolor
91.2,60.8,27.2,4.8,Iris-setosa,Iris-setosa
88,67.2,22.4,3.2,Iris-setosa,Iris-setosa
100.8,52.8,75.2,25.6,Iris-versicolor,Iris-versicolor
88,38.4,60.8,17.6,Iris-versicolor,Iris-versicolor
80,56,20.8,4.8,Iris-setosa,Iris-setosa
107.2,49.6,75.2,24,Iris-versicolor,Iris-versicolor
89.6,48,72,24,Iris-versicolor,Iris-versicolor
81.6,60.8,30.4,6.4,Iris-setosa,Iris-setosa
70.4,51.2,20.8,3.2,Iris-setosa,Iris-setosa
73.6,54.4,22.4,4.8,Iris-setosa,Iris-setosa
97.6,44.8,64,20.8,Iris-versicolor,Iris-versicolor
89.6,43.2,67.2,20.8,Iris-versicolor,Iris-versicolor
80,54.4,24,3.2,Iris-setosa,Iris-setosa
81.6,60.8,24,4.8,Iris-setosa,Iris-setosa
80,52.8,22.4,3.2,Iris-setosa,Iris-setosa
97.6,44.8,75.2,19.2,Iris-versicolor,Iris-versicolor
88,41.6,70.4,19.2,Iris-versicolor,Iris-versicolor
76.8,49.6,25.6,3.2,Iris-setosa,Iris-setosa
88,56,20.8,3.2,Iris-setosa,Iris-setosa
102.4,46.4,68.8,20.8,Iris-versicolor,Iris-versicolor
88,36.8,64,20.8,Iris-versicolor,Iris-versicolor
91.2,41.6,56,16,Iris-versicolor,Iris-versicolor
81.6,52.8,27.2,8,Iris-setosa,Iris-setosa
91.2,44.8,65.6,20.8,Iris-versicolor,Iris-versicolor
99.2,46.4,68.8,20.8,Iris-versicolor,Iris-versicolor
97.6,46.4,75.2,22.4,Iris-versicolor,Iris-versicolor
86.4,54.4,24,6.4,Iris-setosa,Iris-setosa
89.6,46.4,57.6,20.8,Iris-versicolor,Iris-versicolor
96,54.4,72,25.6,Iris-versicolor,Iris-versicolor
92.8,43.2,65.6,16,Iris-versicolor,Iris-versicolor
78.4,49.6,24,1.6,Iris-setosa,Iris-setosa
86.4,62.4,20.8,6.4,Iris-setosa,Iris-setosa
75.2,51.2,20.8,3.2,Iris-setosa,Iris-setosa
80,54.4,25.6,6.4,Iris-setosa,Iris-setosa
81.6,60.8,25.6,3.2,Iris-setosa,Iris-setosa
107.2,48,80,27.2,Iris-versicolor,Iris-versicolor
92.8,41.6,64,19.2,Iris-versicolor,Iris-versicolor
76.8,54.4,30.4,3.2,Iris-setosa,Iris-setosa
88,38.4,59.2,16,Iris-versicolor,Iris-versicolor
92.8,64,19.2,3.2,Iris-setosa,Iris-setosa
