property,property,property,property,actual,predicted
1280,588.8,844.8,256,Iris-versicolor,Iris-versicolor
1382.4,870.4,435.2,51.2,Iris-setosa,Iris-setosa
1715.2,793.6,1126.4,358.4,Iris-versicolor,Iris-versicolor
1280,870.4,384,51.2,Iris-setosa,Iris-setosa
1280,844.8,358.4,51.2,Iris-setosa,Iris-setosa
1305.6,896,358.4,51.2,Iris-setosa,Iris-setosa
1638.4,742.4,1100.8,332.8,Iris-versicolor,Iris-versicolor
1536,691.2,1305.6,409.6,Iris-versicolor,Iris-versicolor
1740.8,716.8,1228.8,358.4,Iris-versicolor,Iris-versicolor
1254.4,614.4,844.8,256,Iris-versicolor,Iris-versicolor
1612.8,588.8,1126.4,332.8,Iris-versicolor,Iris-versicolor
1536,742.4,1152,384,Iris-versicolor,Iris-versicolor
1305.6,972.8,409.6,51.2,Iris-setosa,Iris-setosa
1228.8,870.4,486.4,51.2,Iris-setosa,Iris-setosa
1408,614.4,947.2,256,Iris-versicolor,Iris-versicolor
1331.2,1049.6,384,25.6,Iris-setosa,Iris-setosa
1228.8,768,358.4,25.6,Iris-setosa,Iris-setosa
1331.2,896,384,51.2,Iris-setosa,Iris-setosa
1280,896,332.8,76.8,Iris-setosa,Iris-setosa
1152,588.8,332.8,76.8,Iris-setosa,Iris-setosa
1459.2,665.6,896,256,Iris-versicolor,Iris-versicolor
1382.4,998.4,332.8,102.4,Iris-setosa,Iris-setosa
1766.4,793.6,1254.4,384,Iris-versicolor,Iris-versicolor
1612.8,844.8,1203.2,409.6,Iris-versicolor,Iris-versicolor
1305.6,896,358.4,76.8,Iris-setosa,Iris-setosa
1638.4,819.2,1152,384,Iris-versicolor,Iris-versicolor
1433.6,742.4,921.6,332.8,Iris-versicolor,Iris-versicolor
1536,563.2,1024,256,Iris-versicolor,Iris-versicolor
1433.6,640,998.4,281.6,Iris-versicolor,Iris-versicolor
1305.6,870.4,384,51.2,Iris-setosa,Iris-setosa
1408,1075.2,358.4,51.2,Iris-setosa,Iris-setosa
1177.6,819.2,358.4,51.2,Iris-setosa,Iris-setosa
1689.6,768,1126.4,358.4,Iris-versicolor,Iris-versicolor
1561.6,716.8,1203.2,307.2,Iris-versicolor,Iris-versicolor
1382.4,768,1152,384,Iris-versicolor,Iris-versicolor
1433.6,768,1049.6,332.8,Iris-versicolor,Iris-versicolor
1792,819.2,1203.2,358.4,Iris-versicolor,Iris-versicolor
1433.6,691.2,1075.2,332.8,Iris-versicolor,Iris-versicolor
1587.2,563.2,1152,384,Iris-versicolor,Iris-versicolor
1280,896,409.6,153.6,Iris-setosa,Iris-setosa
1484.8,665.6,1024,307.2,Iris-versicolor,Iris-versicolor
1561.6,742.4,1203.2,358.4,Iris-versicolor,Iris-versicolor
1305.6,972.8,384,76.8,Iris-setosa,Iris-setosa
1382.4,998.4,435.2,102.4,Iris-setosa,Iris-setosa
1408,588.8,1024,332.8,Iris-versicolor,Iris-versicolor
1382.4,870.4,384,102.4,Iris-setosa,Iris-setosa
1305.6,972.8,486.4,102.4,Iris-setosa,Iris-setosa
1408,614.4,972.8,281.6,Iris-versicolor,Iris-versicolor
1280,921.6,358.4,51.2,Iris-setosa,Iris-setosa
1561.6,768,1177.6,358.4,Iris-versicolor,Iris-versicolor
1433.6,768,1152,384,Iris-versicolor,Iris-versicolor
1228.8,793.6,409.6,51.2,Iris-setosa,Iris-setosa
1331.2,870.4,358.4,51.2,Iris-setosa,Iris-setosa
1203.2,819.2,332.8,51.2,Iris-setosa,Iris-setosa
1305.6,947.2,384,102.4,Iris-setosa,Iris-setosa
1561.6,716.8,1024,332.8,Iris-versicolor,Iris-versicolor
1280,819.2,307.2,51.2,Iris-setosa,Iris-setosa
1459.2,716.8,1049.6,332.8,Iris-versicolor,Iris-versicolor
1510.4,819.2,1228.8,460.8,Iris-versicolor,Iris-versicolor
1356.8,947.2,384,51.2,Iris-setosa,Iris-setosa
1254.4,793.6,384,25.6,Iris-setosa,Iris-setosa
1254.4,793.6,384,25.6,Iris-setosa,Iris-setosa
1459.2,742.4,1075.2,332.8,Iris-versicolor,Iris-versicolor
1612.8,640,1254.4,384,Iris-versicolor,Iris-versicolor
1536,870.4,1152,409.6,Iris-versicolor,Iris-versicolor
1715.2,793.6,1203.2,384,Iris-versicolor,Iris-versicolor
1126.4,742.4,358.4,51.2,Iris-setosa,Iris-setosa
1280,870.4,409.6,102.4,Iris-setosa,Iris-setosa
1177.6,870.4,358.4,76.8,Iris-setosa,Iris-setosa
1305.6,844.8,435.2,128,Iris-setosa,Iris-setosa
1510.4,768,1075.2,384,Iris-versicolor,Iris-versicolor
1331.2,691.2,998.4,358.4,Iris-versicolor,Iris-versicolor
1459.2,768,1075.2,307.2,Iris-versicolor,Iris-versicolor
1228.8,768,358.4,76.8,Iris-setosa,Iris-setosa
1459.2,1126.4,384,102.4,Iris-setosa,Iris-setosa
1484.8,691.2,1049.6,256,Iris-versicolor,Iris-versicolor
1484.8,691.2,998.4,307.2,Iris-versicolor,Iris-versicolor
1254.4,768,358.4,51.2,Iris-setosa,Iris-setosa
1100.8,768,281.6,25.6,Iris-setosa,Iris-setosa
1689.6,742.4,1177.6,332.8,Iris-versicolor,Iris-versicolor
