property,property,property,property,actual,predicted
11,4.8,7.6,2.2,Iris-versicolor,Iris-versicolor
9.2,6.2,3,0.4,Iris-setosa,Iris-setosa
11,7,2.6,0.4,Iris-setosa,Iris-setosa
8.8,6,2.6,0.4,Iris-setosa,Iris-setosa
10.2,7.6,3.2,0.4,Iris-setosa,Iris-setosa
12.2,6,9.2,2.8,Iris-versicolor,Iris-versicolor
10,6.8,3,0.4,Iris-setosa,Iris-setosa
9.8,6,2.8,0.4,Iris-setosa,Iris-setosa
14,6.4,9.4,2.8,Iris-versicolor,Iris-versicolor
11.4,6,8.4,2.4,Iris-versicolor,Iris-versicolor
12,5.4,10.2,3.2,Iris-versicolor,Iris-versicolor
13.4,6,10,3.4,Iris-versicolor,Iris-versicolor
9.8,4.8,6.6,2,Iris-versicolor,Iris-versicolor
12.8,6.4,9,3,Iris-versicolor,Iris-versicolor
12.2,5.8,9.4,2.8,Iris-versicolor,Iris-versicolor
11.4,5.2,7,2,Iris-versicolor,Iris-versicolor
11.2,5.8,7.2,2.6,Iris-versicolor,Iris-versicolor
10,6.8,3.2,0.8,Iris-setosa,Iris-setosa
9.4,6.4,3.2,0.4,Iris-setosa,Iris-setosa
9.6,6.8,3.8,0.4,Iris-setosa,Iris-setosa
11.2,5,7.8,2.2,Iris-versicolor,Iris-versicolor
9.6,6.2,3.2,0.4,Iris-setosa,Iris-setosa
10,7.2,2.8,0.4,Iris-setosa,Iris-setosa
11.2,6,8.2,2.6,Iris-versicolor,Iris-versicolor
10.8,6,9,3,Iris-versicolor,Iris-versicolor
11.6,5.2,8,2.4,Iris-versicolor,Iris-versicolor
10.8,7.8,2.6,0.8,Iris-setosa,Iris-setosa
9.2,7.2,2,0.4,Iris-setosa,Iris-setosa
10.4,5.4,7.8,2.8,Iris-versicolor,Iris-versicolor
11.2,5.4,8.4,2.6,Iris-versicolor,Iris-versicolor
8.8,5.8,2.8,0.4,Iris-setosa,Iris-setosa
12.6,6.6,9.4,3.2,Iris-versicolor,Iris-versicolor
10,6.6,2.8,0.4,Iris-setosa,Iris-setosa
9.8,6.2,3,0.2,Iris-setosa,Iris-setosa
11.4,5.6,8.2,2.6,Iris-versicolor,Iris-versicolor
10.8,6.8,3.4,0.4,Iris-setosa,Iris-setosa
10.2,6.6,3.4,1,Iris-setosa,Iris-setosa
11.6,5.4,7.8,2.4,Iris-versicolor,Iris-versicolor
11,8.4,2.8,0.4,Iris-setosa,Iris-setosa
11.8,6,8.4,3,Iris-versicolor,Iris-versicolor
11.4,7.6,3.4,0.6,Iris-setosa,Iris-setosa
12.4,4.4,9,3,Iris-versicolor,Iris-versicolor
8.8,6.4,2.6,0.4,Iris-setosa,Iris-setosa
10,4.6,6.6,2,Iris-versicolor,Iris-versicolor
12.6,4.6,8.8,2.6,Iris-versicolor,Iris-versicolor
10.2,7.4,3,0.8,Iris-setosa,Iris-setosa
13.8,6.2,9.8,3,Iris-versicolor,Iris-versicolor
10.2,7.6,3.8,0.8,Iris-setosa,Iris-setosa
12.6,5,9.8,3,Iris-versicolor,Iris-versicolor
12,5.8,9,3,Iris-versicolor,Iris-versicolor
11,4.8,7.4,2,Iris-versicolor,Iris-versicolor
10.8,6.8,3,0.8,Iris-setosa,Iris-setosa
9.8,6.2,3,0.2,Iris-setosa,Iris-setosa
8.6,6,2.2,0.2,Iris-setosa,Iris-setosa
9.6,6,2.8,0.6,Iris-setosa,Iris-setosa
13.6,5.6,9.6,2.8,Iris-versicolor,Iris-versicolor
10,4,7,2,Iris-versicolor,Iris-versicolor
13,5.6,9.2,3,Iris-versicolor,Iris-versicolor
9.2,6.8,2.8,0.6,Iris-setosa,Iris-setosa
12,4.4,8,2,Iris-versicolor,Iris-versicolor
10.4,7,3,0.4,Iris-setosa,Iris-setosa
12.2,5.6,9.4,2.4,Iris-versicolor,Iris-versicolor
11.4,5.8,8.4,2.6,Iris-versicolor,Iris-versicolor
10.8,7.4,3,0.4,Iris-setosa,Iris-setosa
12.2,5.6,8,2.6,Iris-versicolor,Iris-versicolor
9,4.6,2.6,0.6,Iris-setosa,Iris-setosa
12,6.8,9,3.2,Iris-versicolor,Iris-versicolor
9.2,6.4,2.8,0.4,Iris-setosa,Iris-setosa
10.2,6.8,3,0.4,Iris-setosa,Iris-setosa
13.2,6,8.8,2.8,Iris-versicolor,Iris-versicolor
9.4,6.4,2.6,0.4,Iris-setosa,Iris-setosa
11.6,8,2.4,0.4,Iris-setosa,Iris-setosa
10.4,8.2,3,0.2,Iris-setosa,Iris-setosa
9.6,6.8,3.2,0.4,Iris-setosa,Iris-setosa
10.8,7.8,3.4,0.8,Iris-setosa,Iris-setosa
10.2,5,6,2.2,Iris-versicolor,Iris-versicolor
9.8,6.2,3,0.2,Iris-setosa,Iris-setosa
10,6,3.2,0.4,Iris-setosa,Iris-setosa
10.2,7,2.8,0.4,Iris-setosa,Iris-setosa
13.2,5.8,9.2,2.6,Iris-versicolor,Iris-versicolor
