property,property,property,property,actual,predicted
20480,9420.8,13516.8,4096,Iris-versicolor,Iris-versicolor
20889.6,15564.8,7782.4,1638.4,Iris-setosa,Iris-setosa
20889.6,15155.2,6144,1638.4,Iris-setosa,Iris-setosa
22528,9830.4,15155.2,4096,Iris-versicolor,Iris-versicolor
23347.2,18022.4,6144,1638.4,Iris-setosa,Iris-setosa
22528,17203.2,5734.4,819.2,Iris-setosa,Iris-setosa
20480,13107.2,4915.2,819.2,Iris-setosa,Iris-setosa
22118.4,15974.4,5324.8,1638.4,Iris-setosa,Iris-setosa
23756.8,10649.6,16384,4915.2,Iris-versicolor,Iris-versicolor
23347.2,11468.8,16793.6,5324.8,Iris-versicolor,Iris-versicolor
25395.2,11878.4,17612.8,5324.8,Iris-versicolor,Iris-versicolor
27033.6,11878.4,18841.6,5324.8,Iris-versicolor,Iris-versicolor
20480,12288,6553.6,819.2,Iris-setosa,Iris-setosa
21299.2,16793.6,6144,409.6,Iris-setosa,Iris-setosa
20070.4,12697.6,6144,409.6,Iris-setosa,Iris-setosa
18432,9420.8,5324.8,1228.8,Iris-setosa,Iris-setosa
24985.6,11468.8,16384,5324.8,Iris-versicolor,Iris-versicolor
28262.4,12697.6,20070.4,6144,Iris-versicolor,Iris-versicolor
23347.2,11468.8,18432,5324.8,Iris-versicolor,Iris-versicolor
23756.8,16384,4915.2,819.2,Iris-setosa,Iris-setosa
21299.2,11059.2,15974.4,5734.4,Iris-versicolor,Iris-versicolor
24985.6,11468.8,19251.2,4915.2,Iris-versicolor,Iris-versicolor
18022.4,11878.4,5734.4,819.2,Iris-setosa,Iris-setosa
19251.2,13107.2,6553.6,819.2,Iris-setosa,Iris-setosa
24576,13926.4,18432,6553.6,Iris-versicolor,Iris-versicolor
22528,10240,16384,5324.8,Iris-versicolor,Iris-versicolor
18841.6,13107.2,5734.4,819.2,Iris-setosa,Iris-setosa
23347.2,15564.8,6963.2,1228.8,Iris-setosa,Iris-setosa
20480,13926.4,6553.6,1638.4,Iris-setosa,Iris-setosa
27033.6,12288,18022.4,5734.4,Iris-versicolor,Iris-versicolor
18841.6,13926.4,5734.4,1228.8,Iris-setosa,Iris-setosa
19251.2,13107.2,5324.8,819.2,Iris-setosa,Iris-setosa
20889.6,13926.4,6144,819.2,Iris-setosa,Iris-setosa
22937.6,12288,16793.6,5324.8,Iris-versicolor,Iris-versicolor
23756.8,11059.2,16793.6,4096,Iris-versicolor,Iris-versicolor
22937.6,12288,18432,6144,Iris-versicolor,Iris-versicolor
19660.8,13926.4,6553.6,819.2,Iris-setosa,Iris-setosa
22937.6,11878.4,14745.6,5324.8,Iris-versicolor,Iris-versicolor
18022.4,13107.2,5324.8,819.2,Iris-setosa,Iris-setosa
20889.6,15564.8,6553.6,819.2,Iris-setosa,Iris-setosa
17612.8,12288,4505.6,409.6,Iris-setosa,Iris-setosa
20889.6,10240,12288,4505.6,Iris-versicolor,Iris-versicolor
27443.2,12697.6,19251.2,6144,Iris-versicolor,Iris-versicolor
20889.6,15564.8,6144,1228.8,Iris-setosa,Iris-setosa
18841.6,12697.6,6144,819.2,Iris-setosa,Iris-setosa
19660.8,12288,5734.4,409.6,Iris-setosa,Iris-setosa
20070.4,12288,5734.4,819.2,Iris-setosa,Iris-setosa
26624,11468.8,18841.6,6144,Iris-versicolor,Iris-versicolor
20480,14336,5324.8,1228.8,Iris-setosa,Iris-setosa
18022.4,12288,5324.8,819.2,Iris-setosa,Iris-setosa
22118.4,13926.4,6963.2,819.2,Iris-setosa,Iris-setosa
25804.8,9420.8,18022.4,5324.8,Iris-versicolor,Iris-versicolor
24166.4,12288,17203.2,6144,Iris-versicolor,Iris-versicolor
20480,13926.4,6144,819.2,Iris-setosa,Iris-setosa
24166.4,13107.2,19660.8,7372.8,Iris-versicolor,Iris-versicolor
20889.6,13516.8,6963.2,2048,Iris-setosa,Iris-setosa
24985.6,12288,18841.6,5734.4,Iris-versicolor,Iris-versicolor
22118.4,12288,18432,6144,Iris-versicolor,Iris-versicolor
18841.6,14745.6,4096,819.2,Iris-setosa,Iris-setosa
22937.6,10240,15974.4,4505.6,Iris-versicolor,Iris-versicolor
28672,13107.2,19251.2,5734.4,Iris-versicolor,Iris-versicolor
23347.2,12288,17203.2,4915.2,Iris-versicolor,Iris-versicolor
19660.8,13926.4,7782.4,819.2,Iris-setosa,Iris-setosa
22528,9420.8,16384,5324.8,Iris-versicolor,Iris-versicolor
21708.8,15155.2,6144,819.2,Iris-setosa,Iris-setosa
20070.4,12697.6,6144,409.6,Iris-setosa,Iris-setosa
25804.8,10240,20070.4,6144,Iris-versicolor,Iris-versicolor
20480,8192,14336,4096,Iris-versicolor,Iris-versicolor
22118.4,15974.4,6963.2,1638.4,Iris-setosa,Iris-setosa
20480,13516.8,5734.4,819.2,Iris-setosa,Iris-setosa
23347.2,10649.6,14336,4096,Iris-versicolor,Iris-versicolor
22528,10649.6,18022.4,4915.2,Iris-versicolor,Iris-versicolor
27443.2,12697.6,18022.4,5734.4,Iris-versicolor,Iris-versicolor
22118.4,13926.4,6144,1638.4,Iris-setosa,Iris-setosa
19660.8,12288,5734.4,1228.8,Iris-setosa,Iris-setosa
23756.8,11059.2,15974.4,4915.2,Iris-versicolor,Iris-versicolor
20070.4,12697.6,6144,409.6,Iris-setosa,Iris-setosa
22118.4,15155.2,6144,819.2,Iris-setosa,Iris-setosa
26214.4,11878.4,17612.8,5324.8,Iris-versicolor,Iris-versicolor
22937.6,11059.2,17203.2,5324.8,Iris-versicolor,Iris-versicolor
