property,property,property,property,actual,predicted
156,76,105,32,Iris-versicolor,Iris-setosa
140,96,41,6,Iris-setosa,Iris-setosa
185,83,128,38,Iris-versicolor,Iris-setosa
172,96,144,48,Iris-versicolor,Iris-setosa
179,96,131,41,Iris-versicolor,Iris-setosa
185,128,38,6,Iris-setosa,Iris-setosa
156,99,48,3,Iris-setosa,Iris-setosa
163,121,60,12,Iris-setosa,Iris-setosa
160,112,51,19,Iris-setosa,Iris-setosa
182,96,134,38,Iris-versicolor,Iris-setosa
179,96,144,48,Iris-versicolor,Iris-setosa
195,89,150,38,Iris-versicolor,Iris-setosa
192,70,128,32,Iris-versicolor,Iris-setosa
160,105,44,6,Iris-setosa,Iris-setosa
198,70,144,48,Iris-versicolor,Iris-setosa
211,96,140,44,Iris-versicolor,Iris-setosa
153,99,51,6,Iris-setosa,Iris-setosa
172,124,54,12,Iris-setosa,Iris-setosa
172,124,41,12,Iris-setosa,Iris-setosa
192,86,163,51,Iris-versicolor,Iris-setosa
204,92,137,41,Iris-versicolor,Iris-setosa
163,108,48,6,Iris-setosa,Iris-setosa
195,92,150,44,Iris-versicolor,Iris-setosa
160,102,38,6,Iris-setosa,Iris-setosa
182,89,131,41,Iris-versicolor,Iris-setosa
163,121,48,9,Iris-setosa,Iris-setosa
182,92,134,41,Iris-versicolor,Iris-setosa
201,80,156,48,Iris-versicolor,Iris-setosa
163,80,96,35,Iris-versicolor,Iris-setosa
188,102,153,57,Iris-versicolor,Iris-setosa
160,108,48,6,Iris-setosa,Iris-setosa
214,96,160,54,Iris-versicolor,Iris-setosa
198,92,137,41,Iris-versicolor,Iris-setosa
185,86,131,32,Iris-versicolor,Iris-setosa
201,73,140,41,Iris-versicolor,Iris-setosa
153,96,44,9,Iris-setosa,Iris-setosa
153,108,51,6,Iris-setosa,Iris-setosa
156,99,48,3,Iris-setosa,Iris-setosa
195,96,147,44,Iris-versicolor,Iris-setosa
182,89,144,41,Iris-versicolor,Iris-setosa
211,92,147,41,Iris-versicolor,Iris-setosa
166,108,44,6,Iris-setosa,Iris-setosa
140,92,44,6,Iris-setosa,Iris-setosa
172,108,48,12,Iris-setosa,Iris-setosa
163,121,51,6,Iris-setosa,Iris-setosa
182,140,48,12,Iris-setosa,Iris-setosa
176,134,44,6,Iris-setosa,Iris-setosa
214,99,150,48,Iris-versicolor,Iris-setosa
176,76,121,35,Iris-versicolor,Iris-setosa
150,102,41,6,Iris-setosa,Iris-setosa
182,121,54,9,Iris-setosa,Iris-setosa
140,102,41,6,Iris-setosa,Iris-setosa
166,112,48,6,Iris-setosa,Iris-setosa
169,118,48,6,Iris-setosa,Iris-setosa
160,108,51,12,Iris-setosa,Iris-setosa
224,102,150,44,Iris-versicolor,Iris-setosa
179,86,134,41,Iris-versicolor,Iris-setosa
192,108,144,51,Iris-versicolor,Iris-setosa
176,80,128,41,Iris-versicolor,Iris-setosa
176,73,128,41,Iris-versicolor,Iris-setosa
153,108,60,6,Iris-setosa,Iris-setosa
163,118,48,12,Iris-setosa,Iris-setosa
147,115,32,6,Iris-setosa,Iris-setosa
172,118,48,6,Iris-setosa,Iris-setosa
214,99,140,44,Iris-versicolor,Iris-setosa
217,89,153,44,Iris-versicolor,Iris-setosa
208,89,147,48,Iris-versicolor,Iris-setosa
185,86,124,38,Iris-versicolor,Iris-setosa
147,99,48,6,Iris-setosa,Iris-setosa
220,99,156,48,Iris-versicolor,Iris-setosa
156,99,48,3,Iris-setosa,Iris-setosa
195,89,128,41,Iris-versicolor,Iris-setosa
153,96,44,3,Iris-setosa,Iris-setosa
147,108,44,9,Iris-setosa,Iris-setosa
179,92,115,41,Iris-versicolor,Iris-setosa
166,131,48,3,Iris-setosa,Iris-setosa
166,86,124,44,Iris-versicolor,Iris-setosa
176,112,41,6,Iris-setosa,Iris-setosa
176,83,140,38,Iris-versicolor,Iris-setosa
163,112,44,9,Iris-setosa,Iris-setosa
